,result,diff,opp_elo,elo,game_time,color,start_time,day,weekday
0,0.0,-243,1243.0,1000.0,600,1,14.0,2,0
1,1.0,218,651.0,869.0,600,0,17.0,15,2
2,0.5,-5,978.0,973.0,600,1,18.0,15,2
3,0.0,-434,1409.0,975.0,600,0,11.0,16,3
4,0.0,-148,1097.0,949.0,600,0,11.0,16,3
5,0.0,-164,1040.0,876.0,300,1,11.0,16,3
6,1.0,110,688.0,798.0,300,0,10.0,17,4
7,1.0,86,744.0,830.0,600,0,11.0,20,0
8,0.0,-138,1055.0,917.0,600,0,12.0,20,0
9,1.0,142,739.0,881.0,600,1,18.0,21,1
10,0.0,-85,1005.0,920.0,600,1,10.0,22,2
11,1.0,83,809.0,892.0,300,0,17.0,22,2
12,0.0,-103,1021.0,918.0,300,0,18.0,22,2
13,1.0,-61,957.0,896.0,300,1,10.0,23,3
14,1.0,106,825.0,931.0,300,1,10.0,24,4
15,0.0,-165,1116.0,951.0,300,1,11.0,25,5
16,0.0,-102,1038.0,936.0,600,1,21.0,25,5
17,0.0,-99,1014.0,915.0,300,0,17.0,27,0
18,0.0,7,891.0,898.0,300,0,17.0,27,0
19,1.0,-8,884.0,876.0,600,1,9.0,28,1
20,0.0,-88,986.0,898.0,600,0,11.0,28,1
21,0.0,48,835.0,883.0,600,1,15.0,28,1
22,0.5,44,818.0,862.0,600,0,23.0,5,6
23,0.0,-90,950.0,860.0,600,0,18.0,6,0
24,0.0,4,843.0,847.0,600,1,17.0,7,1
25,1.0,4,826.0,830.0,180,1,17.0,8,2
26,0.0,-67,913.0,846.0,180,1,17.0,8,2
27,0.0,-97,930.0,833.0,600,0,17.0,19,6
28,1.0,22,799.0,821.0,600,1,15.0,20,0
29,0.0,17,819.0,836.0,600,0,16.0,20,0
30,0.0,-32,852.0,820.0,600,1,16.0,20,0
31,1.0,-23,830.0,807.0,300,0,17.0,20,0
32,0.0,-30,852.0,822.0,300,1,18.0,20,0
33,0.0,0,810.0,810.0,300,0,18.0,20,0
34,1.0,66,731.0,797.0,600,0,10.0,21,1
35,1.0,32,775.0,807.0,600,1,10.0,22,2
36,0.0,-14,832.0,818.0,300,1,17.0,22,2
37,1.0,82,725.0,807.0,600,1,18.0,22,2
38,0.5,48,768.0,816.0,600,0,13.0,23,3
39,0.0,-64,879.0,815.0,600,1,14.0,23,3
40,1.0,-6,812.0,806.0,600,0,11.0,26,6
41,0.0,20,797.0,817.0,600,1,14.0,26,6
42,1.0,59,747.0,806.0,600,1,16.0,26,6
43,0.0,-62,877.0,815.0,600,0,22.0,26,6
44,0.0,-32,839.0,807.0,600,0,14.0,27,0
45,1.0,30,768.0,798.0,600,0,14.0,27,0
46,0.0,-64,871.0,807.0,600,1,18.0,27,0
47,0.0,-56,855.0,799.0,600,0,13.0,28,1
48,1.0,-78,869.0,791.0,300,1,18.0,28,1
49,0.0,-54,856.0,802.0,300,0,8.0,29,2
50,1.0,57,738.0,795.0,600,1,9.0,29,2
51,1.0,37,765.0,802.0,600,0,12.0,29,2
